FUNC __main__.cinco_cinco 15.4648 1527977089.0905 16.6406 1527977089.1121
CMDLINE /usr/bin/python3 cinco_cinco.py
MEM 1.468750 1527977088.9743
MEM 13.828125 1527977089.0747
